batter,pitcher,stand,p_throws,events,description,player_AVG,player_OBP,player_SLG,player_PA
680776,623167,L,R,,called_strike,0.285,0.342,0.492,735
680776,623167,L,R,,ball,0.285,0.342,0.492,735
680776,686642,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,686642,L,L,,ball,0.285,0.342,0.492,735
680776,686642,L,L,,foul,0.285,0.342,0.492,735
680776,686642,L,L,,called_strike,0.285,0.342,0.492,735
680776,623167,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,686642,L,L,,ball,0.285,0.342,0.492,735
680776,686642,L,L,,ball,0.285,0.342,0.492,735
680776,623167,L,R,,foul,0.285,0.342,0.492,735
680776,676979,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,676979,L,L,,foul,0.285,0.342,0.492,735
680776,676979,L,L,,ball,0.285,0.342,0.492,735
680776,676979,L,L,,ball,0.285,0.342,0.492,735
680776,683568,L,R,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,683568,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,683568,L,R,,ball,0.285,0.342,0.492,735
680776,683568,L,R,,called_strike,0.285,0.342,0.492,735
680776,683568,L,R,,ball,0.285,0.342,0.492,735
680776,660853,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,660853,L,R,,ball,0.285,0.342,0.492,735
680776,676979,L,L,single,hit_into_play,0.285,0.342,0.492,735
680776,676979,L,L,,called_strike,0.285,0.342,0.492,735
680776,663436,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,663436,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,663436,L,R,,foul,0.285,0.342,0.492,735
680776,663436,L,R,,ball,0.285,0.342,0.492,735
680776,686642,L,L,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,686642,L,L,,foul,0.285,0.342,0.492,735
680776,686642,L,L,,ball,0.285,0.342,0.492,735
680776,686642,L,L,,foul,0.285,0.342,0.492,735
680776,686642,L,L,,foul,0.285,0.342,0.492,735
680776,686642,L,L,,ball,0.285,0.342,0.492,735
680776,663436,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,656731,L,R,double,hit_into_play,0.285,0.342,0.492,735
680776,664849,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,664849,L,L,,ball,0.285,0.342,0.492,735
680776,622065,L,L,single,hit_into_play,0.285,0.342,0.492,735
680776,664849,L,L,,ball,0.285,0.342,0.492,735
680776,664849,L,L,,called_strike,0.285,0.342,0.492,735
680776,622065,L,L,,called_strike,0.285,0.342,0.492,735
680776,622065,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,656731,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,656731,L,R,,foul,0.285,0.342,0.492,735
680776,656849,L,L,strikeout,foul_tip,0.285,0.342,0.492,735
680776,656849,L,L,,ball,0.285,0.342,0.492,735
680776,656849,L,L,,blocked_ball,0.285,0.342,0.492,735
680776,656849,L,L,,ball,0.285,0.342,0.492,735
680776,656849,L,L,,swinging_strike,0.285,0.342,0.492,735
680776,656849,L,L,,called_strike,0.285,0.342,0.492,735
680776,656849,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,676130,L,R,walk,ball,0.285,0.342,0.492,735
680776,676130,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,676130,L,R,,called_strike,0.285,0.342,0.492,735
680776,676130,L,R,,ball,0.285,0.342,0.492,735
680776,676130,L,R,,ball,0.285,0.342,0.492,735
680776,676130,L,R,,ball,0.285,0.342,0.492,735
680776,656849,L,L,single,hit_into_play,0.285,0.342,0.492,735
680776,656849,L,L,,called_strike,0.285,0.342,0.492,735
680776,656849,L,L,,ball,0.285,0.342,0.492,735
680776,656849,L,L,,ball,0.285,0.342,0.492,735
680776,622663,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,622663,L,R,,foul,0.285,0.342,0.492,735
680776,622663,L,R,,ball,0.285,0.342,0.492,735
680776,622663,L,R,,foul,0.285,0.342,0.492,735
680776,622663,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,622663,L,R,,ball,0.285,0.342,0.492,735
680776,622663,L,R,,foul,0.285,0.342,0.492,735
680776,622663,L,R,single,hit_into_play,0.285,0.342,0.492,735
680776,622663,L,R,,called_strike,0.285,0.342,0.492,735
680776,622663,L,R,,ball,0.285,0.342,0.492,735
680776,664849,L,L,strikeout,called_strike,0.285,0.342,0.492,735
680776,664849,L,L,,ball,0.285,0.342,0.492,735
680776,664849,L,L,,foul,0.285,0.342,0.492,735
680776,664849,L,L,,called_strike,0.285,0.342,0.492,735
680776,622663,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,622663,L,R,,called_strike,0.285,0.342,0.492,735
680776,676428,L,L,single,hit_into_play,0.285,0.342,0.492,735
680776,676428,L,L,,foul,0.285,0.342,0.492,735
680776,676428,L,L,,ball,0.285,0.342,0.492,735
680776,676428,L,L,,ball,0.285,0.342,0.492,735
680776,676428,L,L,,called_strike,0.285,0.342,0.492,735
680776,676428,L,L,strikeout,swinging_strike,0.285,0.342,0.492,735
680776,676428,L,L,,foul,0.285,0.342,0.492,735
680776,676428,L,L,,called_strike,0.285,0.342,0.492,735
680776,676428,L,L,,ball,0.285,0.342,0.492,735
680776,676428,L,L,,ball,0.285,0.342,0.492,735
680776,676684,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,676684,L,R,,foul,0.285,0.342,0.492,735
680776,676684,L,R,,foul,0.285,0.342,0.492,735
680776,676684,L,R,,called_strike,0.285,0.342,0.492,735
680776,689225,L,R,strikeout,swinging_strike_blocked,0.285,0.342,0.492,735
680776,689225,L,R,,foul,0.285,0.342,0.492,735
680776,689225,L,R,,foul,0.285,0.342,0.492,735
680776,689225,L,R,,swinging_strike,0.285,0.342,0.492,735
680776,669373,L,L,field_error,hit_into_play,0.285,0.342,0.492,735
680776,669373,L,L,,called_strike,0.285,0.342,0.492,735
680776,669373,L,L,single,hit_into_play,0.285,0.342,0.492,735
680776,669373,L,L,,foul,0.285,0.342,0.492,735
680776,669373,L,L,,ball,0.285,0.342,0.492,735
680776,663947,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,669373,L,L,field_out,hit_into_play,0.285,0.342,0.492,735
680776,663947,L,L,,foul,0.285,0.342,0.492,735
680776,663947,L,L,,ball,0.285,0.342,0.492,735
680776,669373,L,L,,called_strike,0.285,0.342,0.492,735
680776,663554,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,663554,L,R,,foul,0.285,0.342,0.492,735
680776,663554,L,R,,ball,0.285,0.342,0.492,735
680776,663554,L,R,,called_strike,0.285,0.342,0.492,735
680776,663554,L,R,,ball,0.285,0.342,0.492,735
680776,663554,L,R,,ball,0.285,0.342,0.492,735
680776,663554,L,R,field_error,hit_into_play,0.285,0.342,0.492,735
680776,669724,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,669724,L,R,,ball,0.285,0.342,0.492,735
680776,669724,L,R,,ball,0.285,0.342,0.492,735
680776,669724,L,R,,foul,0.285,0.342,0.492,735
680776,669724,L,R,,foul,0.285,0.342,0.492,735
680776,669724,L,R,,ball,0.285,0.342,0.492,735
680776,669724,L,R,,called_strike,0.285,0.342,0.492,735
680776,663947,L,L,home_run,hit_into_play,0.285,0.342,0.492,735
680776,663554,L,R,double,hit_into_play,0.285,0.342,0.492,735
680776,670102,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,670102,L,R,field_error,hit_into_play,0.285,0.342,0.492,735
680776,670102,L,R,,ball,0.285,0.342,0.492,735
680776,670102,L,R,,foul,0.285,0.342,0.492,735
680776,670102,L,R,,foul,0.285,0.342,0.492,735
680776,670102,L,R,,ball,0.285,0.342,0.492,735
680776,670102,L,R,,called_strike,0.285,0.342,0.492,735
680776,643338,L,R,field_out,hit_into_play,0.285,0.342,0.492,735
680776,643338,L,R,,foul,0.285,0.342,0.492,735
680776,643338,L,R,,foul,0.285,0.342,0.492,735
680776,643338,L,R,,ball,0.285,0.342,0.492,735
