player_AVG,player_OBP,player_SLG,player_PA,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip,is_hit,stand_R,p_throws_R,description_encoded
0.285,0.342,0.492,735,5.31,1.442,8.6,2.28,18,40,97,95.0,0.297,0,0,1,2
0.285,0.342,0.492,735,5.7,1.225,9.1,3.0,2,8,21,23.2,0.292,0,0,1,0
0.285,0.342,0.492,735,3.0,1.111,12.4,3.67,5,27,53,72.0,0.302,1,0,1,0
0.285,0.342,0.492,735,5.31,1.442,8.6,2.28,18,40,97,95.0,0.297,0,0,1,2
0.285,0.342,0.492,735,3.43,1.252,9.6,3.03,19,62,158,175.2,0.302,0,0,1,4
0.285,0.342,0.492,735,3.43,1.252,9.6,3.03,19,62,158,175.2,0.302,0,0,1,2
0.285,0.342,0.492,735,2.33,1.148,11.0,3.3,1,10,21,27.0,0.308,0,0,0,2
0.285,0.342,0.492,735,3.43,1.252,9.6,3.03,19,62,158,175.2,0.302,0,0,1,2
0.285,0.342,0.492,735,4.53,1.407,10.6,2.63,21,65,139,145.0,0.321,0,0,1,2
0.285,0.342,0.492,735,4.53,1.407,10.6,2.63,21,65,139,145.0,0.321,0,0,1,2
0.285,0.342,0.492,735,3.05,1.155,11.9,3.18,9,33,59,79.2,0.284,1,0,1,0
0.285,0.342,0.492,735,4.53,1.407,10.6,2.63,21,65,139,145.0,0.321,0,0,1,0
0.285,0.342,0.492,735,2.76,1.098,9.0,2.39,22,71,115,169.1,0.222,0,0,1,1
0.285,0.342,0.492,735,2.76,1.098,9.0,2.39,22,71,115,169.1,0.222,0,0,1,0
0.285,0.342,0.492,735,3.92,1.378,9.4,3.16,4,19,60,57.1,0.346,0,0,1,4
0.285,0.342,0.492,735,4.61,1.482,11.0,2.68,6,25,56,54.2,0.34,1,0,0,0
0.285,0.342,0.492,735,2.76,1.098,9.0,2.39,22,71,115,169.1,0.222,1,0,1,0
0.285,0.342,0.492,735,3.03,1.141,10.8,3.32,15,71,153,196.1,0.292,0,0,0,0
0.285,0.342,0.492,735,3.03,1.141,10.8,3.32,15,71,153,196.1,0.292,0,0,0,2
0.285,0.342,0.492,735,3.33,1.064,10.4,4.11,4,19,53,67.2,0.288,0,0,1,0
0.285,0.342,0.492,735,3.03,1.141,10.8,3.32,15,71,153,196.1,0.292,0,0,0,0
0.285,0.342,0.492,735,3.0,1.097,7.9,3.57,17,53,184,216.0,0.276,1,0,1,0
0.285,0.342,0.492,735,3.0,1.097,7.9,3.57,17,53,184,216.0,0.276,0,0,1,0
0.285,0.342,0.492,735,2.57,1.114,10.8,5.25,3,8,31,35.0,0.322,0,0,0,0
0.285,0.342,0.492,735,3.0,1.097,7.9,3.57,17,53,184,216.0,0.276,0,0,1,3
0.285,0.342,0.492,735,3.09,1.2,8.9,2.19,5,21,35,46.2,0.252,0,0,0,0
0.285,0.342,0.492,735,3.7,1.272,8.6,3.17,22,54,175,180.0,0.305,0,0,1,0
0.285,0.342,0.492,735,3.7,1.272,8.6,3.17,22,54,175,180.0,0.305,0,0,1,0
0.285,0.342,0.492,735,5.55,1.474,6.8,1.33,5,33,53,58.1,0.281,0,0,1,0
0.285,0.342,0.492,735,3.7,1.272,8.6,3.17,22,54,175,180.0,0.305,0,0,1,2
0.285,0.342,0.492,735,3.75,1.439,8.4,2.45,6,22,61,57.2,0.324,1,0,0,0
