mlbID,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip
572143,4.95,1.349,7.3,3.83,6,12,64,56.1,0.337
671922,1.84,0.852,12.6,6.5,1,18,53,83.1,0.294
642086,0.0,1.0,0.0,0.0,0,1,2,3.0,0.2
622098,3.06,1.528,11.7,2.56,2,9,18,17.2,0.356
656976,0.0,1.0,0.0,0.0,0,1,0,1.0,0.0
519293,6.53,1.452,6.3,1.93,7,15,45,41.1,0.292
700363,4.76,1.588,7.9,2.5,1,2,7,5.2,0.333
592767,3.84,1.398,8.6,2.24,10,25,57,58.2,0.292
669912,4.35,1.839,6.1,1.0,0,7,12,10.1,0.353
605483,3.12,1.048,12.5,3.3,6,44,65,104.0,0.266
676092,1.94,1.176,10.2,3.62,5,13,36,41.2,0.298
666277,6.75,1.364,8.9,2.23,7,13,27,29.1,0.256
667755,3.42,1.204,7.7,2.16,8,45,91,113.0,0.27
647336,4.74,1.381,9.5,1.91,13,44,66,79.2,0.264
642397,4.36,1.565,11.1,2.36,4,28,56,53.2,0.371
666208,4.5,1.5,9.0,2.0,1,1,2,2.0,0.25
642100,5.7,1.394,12.5,2.36,2,14,19,23.2,0.327
687765,4.58,1.381,7.5,2.86,20,44,165,151.1,0.319
686730,5.46,1.533,7.9,2.96,20,27,112,90.2,0.331
605488,3.27,1.364,10.1,3.36,5,11,34,33.0,0.33
592773,4.57,1.279,10.5,2.63,8,27,51,61.0,0.279
622251,3.7,1.274,6.7,1.29,0,14,17,24.1,0.246
657006,3.07,1.099,9.0,3.65,12,37,111,134.2,0.274
683021,0.0,1.0,0.0,,0,0,1,1.0,0.25
623451,2.7,1.8,5.4,2.0,1,1,5,3.1,0.333
686993,2.25,1.5,9.0,4.0,0,1,5,4.0,0.357
592779,5.17,1.468,11.5,2.5,2,8,15,15.2,0.351
694813,3.53,1.211,7.4,3.14,18,37,133,140.1,0.283
621381,2.37,0.789,11.1,7.27,5,11,40,64.2,0.241
608717,5.55,1.474,6.8,1.33,5,33,53,58.1,0.281
676702,3.58,1.168,7.9,4.71,3,7,37,37.2,0.312
519326,3.31,1.091,7.0,2.38,10,24,56,73.1,0.23
675911,7.0,1.667,12.0,2.4,2,5,10,9.0,0.348
548389,6.01,1.535,5.2,2.23,7,22,109,85.1,0.339
573186,4.31,1.468,6.6,1.88,19,60,167,154.2,0.312
657265,2.31,1.2,6.9,3.0,1,3,11,11.2,0.303
596117,15.75,2.0,0.0,0.0,2,2,6,4.0,0.267
544150,3.7,1.294,7.3,2.51,17,43,130,133.2,0.29
660761,6.02,1.605,9.6,2.07,7,27,57,52.1,0.343
624133,3.37,1.226,8.9,3.4,14,45,145,155.0,0.308
663158,2.69,1.015,7.9,3.69,7,16,52,67.0,0.249
593833,,,,,0,0,1,0.0,1.0
